1;0;1571.00;10.15;2005.00;0.00;0.36
2;0;755.00;9.80;528.00;0.00;0.36
3;0;153.00;10.10;194.00;0.00;0.44
4;0;3018.00;9.75;1323.00;0.00;0.40
5;0;575.00;10.52;1721.00;0.00;0.48
6;0;4849.00;9.80;987.00;0.00;0.32
7;0;196.00;9.90;1920.00;0.00;0.44
8;0;1111.00;10.67;529.00;0.00;0.40
9;0;4050.00;10.30;1328.00;0.00;0.40
10;0;1008.00;10.10;2017.00;0.00;0.48
11;0;468.00;9.92;305.00;0.00;0.52
12;0;4452.00;10.92;291.00;0.00;0.44
13;0;4342.00;10.30;1520.00;0.00;0.32
14;0;1190.00;9.80;99.00;0.00;0.40
15;0;4146.00;10.32;1568.00;0.00;0.44
16;0;781.00;9.75;1820.00;0.00;0.44
17;0;2679.00;9.85;1153.00;0.00;0.32
18;0;1009.00;9.80;65.00;0.00;0.40
19;0;1653.00;10.07;1477.00;0.00;0.44
20;0;474.00;10.30;321.00;0.00;0.48
21;0;3380.00;10.20;122.00;0.00;0.40
22;0;2628.00;9.90;782.00;0.00;0.44
23;0;2562.00;9.80;1814.00;0.00;0.28
24;0;442.00;9.85;410.00;0.00;0.44
25;0;4616.00;10.00;1738.00;0.00;0.36
26;0;3174.00;9.92;1170.00;0.00;0.48
27;0;920.00;9.80;1358.00;0.00;0.48
28;0;1395.00;9.80;881.00;0.00;0.40
29;0;4082.00;9.80;636.00;0.00;0.36
30;0;5274.00;9.90;1228.00;0.00;0.40
31;0;754.00;9.90;1010.00;0.00;0.32
32;0;2887.00;9.95;1128.00;0.00;0.32
33;0;5343.00;9.70;351.00;0.00;0.40
34;0;2943.00;9.80;2008.00;0.00;0.40
35;0;4099.00;10.27;736.00;0.00;0.52
36;0;1408.00;10.20;1537.00;0.00;0.48
37;0;1500.00;10.07;1560.00;0.00;0.44
38;0;332.00;9.80;531.00;0.00;0.36
39;0;1245.00;9.87;1958.00;0.00;0.48
40;0;1431.00;10.30;375.00;0.00;0.52
41;0;2245.00;9.90;90.00;0.00;0.36
42;0;1219.00;10.35;1647.00;0.00;0.40
43;0;2655.00;10.70;2019.00;0.00;0.44
44;0;4149.00;9.90;517.00;0.00;0.44
45;0;1185.00;9.90;1412.00;0.00;0.40
46;0;3599.00;10.10;22.00;0.00;0.40
47;0;3684.00;10.20;20.00;0.00;0.48
48;0;2327.00;10.12;1991.00;0.00;0.44
49;0;2618.00;10.35;30.00;0.00;0.40
