1;arms_factory;405.00;9.98;1981.00;1.25;0
1;arms_factory;389.00;9.90;1853.00;2.81;0
1;arms_factory;269.00;9.80;1964.00;0.65;0
1;arms_factory;320.00;9.98;2041.00;4.78;0
1;arms_factory;327.00;9.88;1920.00;4.88;0
1;arms_factory;445.00;9.90;1901.00;2.71;0
1;industrial_complex;263.00;9.80;1966.00;5.38;0
1;industrial_complex;424.00;9.70;1847.00;1.76;0
1;industrial_complex;469.00;9.80;2039.00;3.32;0
1;industrial_complex;442.00;9.95;1903.00;1.16;0
1;industrial_complex;478.00;9.95;1948.00;2.37;0
1;industrial_complex;494.00;10.10;2020.00;0.21;0
1;air_base;289.00;10.30;2003.00;1.77;0
1;supply_node;420.00;10.00;1897.00;3.83;0
1;supply_node;497.00;10.20;1958.00;0.48;0
1;supply_node;370.00;9.95;1945.00;4.53;0
1;supply_node;425.00;9.78;1849.00;6.01;0
1;supply_node;403.00;9.80;1865.00;2.66;0
1;supply_node;447.00;9.78;1848.00;5.25;0
1;supply_node;378.00;10.10;1993.00;1.90;0
1;supply_node;483.00;9.80;1996.00;4.83;0
1;supply_node;387.00;10.12;1976.00;1.13;0
1;supply_node;530.00;10.60;1980.00;4.07;0
1;supply_node;487.00;10.03;2016.00;5.55;0
1;supply_node;411.00;10.00;1975.00;3.30;0
1;supply_node;544.00;10.20;2003.00;4.78;0
1;supply_node;327.00;9.95;1942.00;1.44;0
1;supply_node;454.00;9.80;1981.00;5.48;0
1;supply_node;433.00;9.85;1979.00;0.67;0
1;supply_node;303.00;10.32;2036.00;3.61;0
1;supply_node;458.00;9.73;1877.00;6.20;0
1;supply_node;309.00;10.00;1907.00;2.85;0
1;supply_node;328.00;9.90;1918.00;5.78;0
1;supply_node;349.00;10.05;1861.00;2.09;0
1;supply_node;459.00;10.00;1911.00;5.02;0
1;supply_node;428.00;9.98;1931.00;0.21;0
1;supply_node;224.00;9.85;1981.00;3.15;0
1;supply_node;259.00;9.88;2030.00;0.91;0
1;supply_node;267.00;9.80;1928.00;2.39;0
1;supply_node;307.00;9.90;1949.00;5.32;0
1;supply_node;476.00;9.80;2032.00;1.62;0
1;supply_node;455.00;9.95;1947.00;4.56;0
1;supply_node;410.00;9.95;1931.00;1.21;0
1;supply_node;325.00;9.80;1965.00;3.80;0
1;supply_node;388.00;9.50;2042.00;0.45;0
1;supply_node;472.00;9.85;1956.00;1.93;0
1;supply_node;517.00;10.00;2012.00;5.97;0
1;supply_node;424.00;9.90;1959.00;2.62;0
1;supply_node;336.00;10.18;1845.00;4.10;0
1;supply_node;375.00;10.00;1885.00;1.86;0
1;supply_node;237.00;9.88;1997.00;3.34;0
1;supply_node;385.00;9.90;1858.00;6.27;0
1;supply_node;265.00;10.00;1994.00;4.03;0
1;supply_node;539.00;9.78;2020.00;5.51;0
1;supply_node;291.00;10.30;2020.00;2.16;0
