1;179.00;10.00;1721.00;big
1;125.00;10.10;1819.00;big
2;443.00;10.05;1963.00;big
2;284.00;10.20;1892.00;big
3;612.00;11.00;1878.00;big
3;842.00;10.05;1870.00;big
4;1110.00;10.03;1917.00;big
4;1324.00;10.60;1821.00;big
5;1674.00;10.50;1705.00;big
5;1603.00;9.90;1914.00;big
6;1687.00;9.80;1515.00;big
6;1835.00;10.10;1409.00;big
7;1226.00;10.85;1597.00;big
7;1046.00;10.70;1647.00;big
8;1376.00;10.60;1520.00;big
8;1505.00;9.90;1490.00;big
9;812.00;10.70;1660.00;big
9;911.00;10.10;1560.00;big
10;635.00;10.80;1608.00;big
10;459.00;10.20;1667.00;big
11;333.00;10.10;1496.00;big
11;479.00;10.38;1413.00;big
12;367.00;9.75;1292.00;big
12;508.00;9.90;1179.00;big
13;714.00;10.70;1451.00;big
13;696.00;10.00;1313.00;big
14;931.00;10.30;1420.00;big
14;1146.00;10.62;1437.00;big
15;1275.00;10.18;1324.00;big
15;1202.00;10.50;1234.00;big
16;1249.00;9.80;1019.00;big
16;1362.00;10.53;1152.00;big
17;1430.00;10.23;932.00;big
17;1494.00;10.85;1054.00;big
18;1407.00;9.90;644.00;big
18;1422.00;10.30;778.00;big
19;928.00;10.20;1275.00;big
19;1051.00;10.20;1261.00;big
20;894.00;10.50;1091.00;big
20;775.00;9.70;1172.00;big
21;1058.00;10.60;1133.00;big
21;1114.00;9.70;1044.00;big
22;704.00;10.60;921.00;big
22;836.00;10.00;889.00;big
23;550.00;10.78;860.00;big
23;397.00;10.30;817.00;big
24;1076.00;11.10;495.00;big
24;958.00;9.85;506.00;big
25;1080.00;10.40;727.00;big
25;967.00;10.45;721.00;big
26;536.00;10.40;640.00;big
26;470.00;10.30;492.00;big
27;695.00;11.30;711.00;big
27;831.00;10.28;714.00;big
28;1269.00;10.30;661.00;big
28;1188.00;10.20;715.00;big
29;699.00;10.40;509.00;big
29;847.00;10.35;510.00;big
30;1198.00;10.03;509.00;big
30;1327.00;9.80;487.00;big
31;493.00;10.23;330.00;big
31;657.00;10.28;289.00;big
32;869.00;10.68;319.00;big
32;792.00;10.20;169.00;big
33;3284.00;9.90;1673.00;big
33;3328.00;9.90;1750.00;big
34;1183.00;11.20;292.00;big
34;1025.00;10.45;266.00;big
35;1267.00;9.90;108.00;big
35;1031.00;9.90;113.00;big
36;1357.00;10.30;278.00;big
36;1519.00;10.35;192.00;big
37;2665.00;10.10;1972.00;big
37;2362.00;10.10;1975.00;big
38;3105.00;9.80;1944.00;big
38;3396.00;10.73;1982.00;big
39;2053.00;9.80;70.00;big
39;2288.00;9.80;67.00;big
40;2948.00;10.30;76.00;big
40;2609.00;10.18;48.00;big
41;3613.00;9.98;67.00;big
41;3248.00;9.90;108.00;big
42;2880.00;9.70;1047.00;big
42;2880.00;9.80;1086.00;big
43;2764.00;10.10;1163.00;big
43;2995.00;10.10;1181.00;big
44;2934.00;9.98;1128.00;big
44;2832.00;9.98;1113.00;big
45;2831.00;9.93;1008.00;big
45;2934.00;9.80;1016.00;big
46;2767.00;9.90;952.00;big
46;2995.00;9.93;955.00;big
47;2766.00;9.80;1316.00;big
47;2612.00;9.80;1148.00;big
48;2978.00;9.50;1362.00;big
48;3132.00;9.85;1152.00;big
49;2598.00;10.00;962.00;big
49;2750.00;10.10;839.00;big
50;3138.00;9.73;922.00;big
50;2945.00;9.50;753.00;big
51;3719.00;10.12;1447.00;big
51;3763.00;9.90;1329.00;big
52;3516.00;10.40;1330.00;big
52;3603.00;10.25;1380.00;big
53;4008.00;9.95;1495.00;big
53;4130.00;10.12;1495.00;big
54;3719.00;9.80;1124.00;big
54;3664.00;10.10;1189.00;big
55;4157.00;10.55;1364.00;big
55;4060.00;9.82;1390.00;big
56;4059.00;10.00;1287.00;big
56;3974.00;9.80;1268.00;big
57;4200.00;10.30;1663.00;big
57;4149.00;10.50;1597.00;big
58;4226.00;10.70;1422.00;big
58;4325.00;9.95;1433.00;big
59;4348.00;10.00;1309.00;big
59;4458.00;10.10;1241.00;big
60;4280.00;10.10;1536.00;big
60;4348.00;10.30;1539.00;big
